latitude,longitude,,,,,
13.5739,100.8432,,,,,
13.5739,100.8433,,,,,
13.5739,100.8434,,,,,
13.574,100.8435,,,,,
13.574,100.8437,,,,,
13.574,100.8438,,,,,
13.5741,100.8439,,,,,
13.5741,100.8441,,,,,
13.5741,100.8442,,,,,
13.5742,100.8443,,,,,
13.5742,100.8445,,,,,
13.5742,100.8446,,,,,
13.5743,100.8447,,,,,
13.5743,100.8448,,,,,
13.5744,100.845,,,,,
13.5744,100.8451,,,,,
13.5744,100.8453,,,,,
13.5745,100.8454,,,,,
13.5745,100.8455,,,,,
13.5745,100.8457,,,,,
13.5746,100.8458,,,,,
13.5746,100.8459,,,,,
13.5746,100.8459,,,,,
13.5747,100.8462,,,,,
13.5747,100.8462,,,,,
13.5747,100.8465,,,,,
13.5747,100.8465,,,,,
13.5748,100.8468,,,,,
13.5748,100.8468,,,,,
13.5749,100.847,,,,,
13.5749,100.847,,,,,
13.5749,100.8473,,,,,
13.5749,100.8473,,,,,
13.575,100.8475,,,,,
13.575,100.8475,,,,,
13.5751,100.8478,,,,,
13.5751,100.8478,,,,,
13.5751,100.8479,,,,,
13.5752,100.848,,,,,
13.5752,100.8482,,,,,
13.5752,100.8483,,,,,
13.5752,100.8484,,,,,
13.5753,100.8485,,,,,
13.5753,100.8486,,,,,
13.5754,100.8487,,,,,
13.5754,100.8489,,,,,
13.5755,100.849,,,,,
13.5755,100.8491,,,,,
13.5755,100.8492,,,,,
13.5755,100.8493,,,,,
13.5756,100.8495,,,,,
13.5756,100.8496,,,,,
13.5757,100.8497,,,,,
13.5757,100.8498,,,,,
13.5758,100.8499,,,,,
13.5758,100.85,,,,,
13.5758,100.8501,,,,,
13.5758,100.8502,,,,,
13.5758,100.8503,,,,,
13.5759,100.8504,,,,,
13.5759,100.8505,,,,,
13.5759,100.8506,,,,,
13.576,100.8506,,,,,
13.576,100.8507,,,,,
13.576,100.8508,,,,,
13.5761,100.8509,,,,,
13.5761,100.8509,,,,,
13.5761,100.851,,,,,
13.5761,100.8511,,,,,
13.5761,100.8511,,,,,
13.5762,100.8512,,,,,
13.5762,100.8513,,,,,
13.5762,100.8513,,,,,
13.5762,100.8514,,,,,
13.5763,100.8515,,,,,
13.5763,100.8516,,,,,
13.5764,100.8517,,,,,
13.5764,100.8518,,,,,
13.5764,100.8519,,,,,
13.5765,100.8519,,,,,
13.5765,100.852,,,,,
13.5766,100.8521,,,,,
13.5766,100.8522,,,,,
13.5766,100.8522,,,,,
13.5767,100.8523,,,,,
13.5767,100.8524,,,,,
13.5767,100.8525,,,,,
13.5768,100.8525,,,,,
13.5768,100.8526,,,,,
13.5768,100.8527,,,,,
13.5768,100.8527,,,,,
13.5768,100.8528,,,,,
13.5768,100.8528,,,,,
13.5768,100.8529,,,,,
13.5768,100.8529,,,,,
13.5769,100.853,,,,,
13.5769,100.853,,,,,
13.5769,100.8531,,,,,
13.5769,100.8531,,,,,
13.5769,100.8532,,,,,
13.5769,100.8533,,,,,
13.5769,100.8533,,,,,
13.5769,100.8534,,,,,
13.5769,100.8534,,,,,
13.577,100.8535,,,,,
13.577,100.8536,,,,,
13.577,100.8537,,,,,
13.577,100.8537,,,,,
13.577,100.8538,,,,,
13.577,100.8539,,,,,
13.577,100.854,,,,,
13.5771,100.854,,,,,
13.5771,100.8541,,,,,
13.5771,100.8541,,,,,
13.5771,100.8541,,,,,
13.5771,100.8542,,,,,
13.5771,100.8542,,,,,
13.5771,100.8543,,,,,
13.5771,100.8543,,,,,
13.5771,100.8543,,,,,
13.5771,100.8544,,,,,
13.5771,100.8544,,,,,
13.5772,100.8545,,,,,
13.5772,100.8545,,,,,
13.5772,100.8545,,,,,
13.5773,100.8545,,,,,
13.5774,100.8546,,,,,
13.5774,100.8546,,,,,
13.5775,100.8546,,,,,
13.5776,100.8546,,,,,
13.5777,100.8546,,,,,
13.5777,100.8546,,,,,
13.5778,100.8546,,,,,
13.5779,100.8546,,,,,
13.5779,100.8546,,,,,
13.578,100.8547,,,,,
13.578,100.8547,,,,,
13.578,100.8547,,,,,
13.578,100.8547,,,,,
13.578,100.8548,,,,,
13.578,100.8548,,,,,
13.5781,100.8548,,,,,
13.5781,100.8548,,,,,
13.5781,100.8548,,,,,
13.5781,100.8549,,,,,
13.5781,100.8549,,,,,
13.578,100.855,,,,,
13.578,100.855,,,,,
13.578,100.8551,,,,,
13.578,100.8551,,,,,
13.578,100.8552,,,,,
13.578,100.8553,,,,,
13.578,100.8553,,,,,
13.578,100.8554,,,,,
13.578,100.8554,,,,,
13.578,100.8554,,,,,
13.578,100.8555,,,,,
